レースコード,レース場,レース回,天気,風向,風速,波の高さ,スタンド距離,枠,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター2連対率,ボート2連対率,展示タイム,順位,結果,3連複_結果,全国勝率_Zスコア,全国2連対率_Zスコア,当地勝率_Zスコア,当地2連対率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240706HWJ03,平和島,03R,曇り,右追い風,2.0,3.0,37.0,6,52,A1,6.77,51.79,0.0,0.0,42.86,28.57,6.89,3,0,1,1.5208087187299926,1.3204858975729907,-1.2626832175514902,-1.1344881049932998,0.8169576843950721,-0.30733739344926203,-1.7663227523106757
20240706HWJ04,平和島,04R,曇り,追い風,1.0,3.0,37.0,6,50,B1,4.58,27.68,4.52,28.05,28.57,33.33,7.04,5,0,0,-1.2788863988134012,-1.03037559556047,-0.44849988160350507,-0.4257281395634125,-0.6752877995169807,0.1505639205913191,1.4985372985306957
20240706HWJ05,平和島,05R,曇り,右追い風,3.0,3.0,37.0,6,52,A2,6.02,45.98,5.43,42.86,28.57,16.67,6.99,5,0,0,0.44148347795693693,0.8343790094337431,-0.585759131646232,-0.13358027266891412,0.24386523405368676,-0.45563293111971453,2.60778163292265e-14
20240706HWJ06,平和島,06R,曇り,追い風,2.0,3.0,37.0,6,53,B1,4.9,29.67,0.0,0.0,71.43,28.57,7.03,4,0,0,-1.235605745500093,-1.0883531331232645,-1.7654643598494986,-1.464323582101842,1.3619783899486104,-0.4455098481139191,0.6634311155428422
20240706HWJ07,平和島,07R,曇り,追い風,3.0,3.0,37.0,6,59,A2,6.48,46.74,6.39,35.48,28.57,25.0,7.1,4,0,0,0.9470330124486582,0.9347027170168145,1.4940442343148876,1.8871801879500718,-0.09086427122556515,-0.16152097720018257,1.822310858304677
20240706HWJ08,平和島,08R,曇り,追い風,3.0,3.0,37.0,6,54,B1,4.91,23.96,5.25,31.94,57.14,75.0,7.02,6,0,0,-0.610854621489322,-1.0262811833027459,-0.34737441882251635,-0.18237331656729028,0.3733568591132686,1.3867653231945583,0.16951587590518524
20240706HWJ09,平和島,09R,曇り,追い風,3.0,3.0,37.0,6,54,B1,4.81,29.36,4.73,31.71,57.14,16.67,6.98,3,0,1,-0.9668341110045365,-0.919123718328626,0.07076617651204224,-0.12395532029670024,1.5026431979753327,-0.5893885851253595,-0.1779839981417373
20240706HWJ10,平和島,10R,雨,追い風,3.0,3.0,37.0,6,53,A2,5.73,38.89,6.73,63.64,42.86,28.57,7.02,3,0,1,-0.2552049792533372,0.027890581708863722,0.42259808018352235,0.8429235586149343,0.7828641309621344,-0.12543221270812313,1.0489329895978419
20240706HWJ11,平和島,11R,曇り,追い風,3.0,3.0,37.0,6,52,B1,4.86,28.57,5.69,42.31,42.86,66.67,6.99,3,0,1,-1.2784817540572537,-1.2974455256653836,0.06862355870595413,0.44230717024376276,0.3570569235834487,1.0617157045734849,0.1865821019441169
20240706EDG02,江戸川,02R,晴,左追い風,4.0,5.0,37.1,6,47,A2,5.8,39.09,6.9,59.68,25.0,50.0,6.68,2,0,1,0.9536431089639305,1.1207635509783072,1.5371945941907856,1.9006569578076913,-0.335883969505702,1.7621514973775687,-0.2799552107491336
20240706EDG03,江戸川,03R,晴,左追い風,5.0,5.0,37.1,6,52,A2,6.0,41.18,5.41,36.62,37.93,19.44,6.85,3,0,1,0.5701211190626247,0.4460551737782882,0.518800977849353,0.4706118643772039,0.7431616864255678,-0.8846061025357926,1.5332615967445185
20240706EDG04,江戸川,04R,晴,左追い風,4.0,5.0,37.1,6,45,A2,5.38,30.16,5.5,30.0,28.13,52.0,6.7,6,0,0,0.22201601429436746,0.06678399643319774,0.7965136483136072,0.44356606271128585,-0.5985009828348308,0.9369477282663846,0.5183052680392056
20240706EDG05,江戸川,05R,晴,左追い風,6.0,5.0,37.1,6,55,A2,5.56,39.34,5.26,30.0,42.42,8.33,6.66,5,0,0,0.6285931495741469,0.6180489701804527,0.828535420138863,0.6133790705869698,1.3786812980152379,-1.6934862995640059,-1.886484436567582
20240706EDG07,江戸川,07R,晴,追い風,4.0,5.0,37.1,6,49,B1,2.65,4.17,0.0,0.0,35.29,37.93,6.91,5,0,0,-1.4132317725542387,-1.290646321902248,-1.5912893083306832,-1.2594927200698174,-0.17040944035818392,0.6548042117471847,-0.08587567332160402
20240706EDG08,江戸川,08R,晴,追い風,4.0,5.0,37.1,6,55,B1,4.89,33.96,4.58,22.64,33.33,50.0,7.07,3,0,1,0.2645159025160765,0.5969645057588041,0.4266396198842106,0.13657578163687392,0.3805090073585394,1.6013119112014065,1.297407774090675
